名稱	評分	評論數	價格區間	類型	分類	地區	備註
OVERVIEW COFFEE SETODA ROASTERY	3.9	58			餐廳	生口島?瀨戶田	咖啡烘焙廠
Monument to the Birthplace of Japan's Lemons	4.1	70		旅遊景點	景點	生口島?瀨戶田	
檸檬谷	4.1	289		景點	景點	生口島?瀨戶田	
Lemon Monster	4.3	75		旅遊景點	景點	生口島?瀨戶田	
?????????	4.2	131		雕塑	景點	生口島?瀨戶田	
Chidori	3.9	602	?1000-2000	食堂與定食餐廳	餐廳	生口島?瀨戶田	章魚餐廳
????商店街	3.9	84			景點	生口島?瀨戶田	商業園；商店街可以拍可愛的孔蓋
MINATOYA	4.2	193	?1000-2000	餐廳	餐廳	生口島?瀨戶田	Soil setoda的餐廳 晚餐早餐都棒
"HYAKKOYA -?????- 
世界????????????
 (?????????????門店)"	4.9	596	?1-1000	果汁	餐廳	生口島?瀨戶田	
Setodach? District Tourist Information Center	3.8	155		旅客中心	景點	生口島?瀨戶田	
Remon.Lab.Base	4.7	14		商店	伴手禮	生口島?瀨戶田	
名荷神社	4.2	18		神社	景點	生口島?瀨戶田	檸檬 跟 橘子御守
Kaneyoshi	4.1	307	?1000-2000	食堂與定食餐廳	餐廳	生口島?瀨戶田	星鰻很好吃
POP LEMON	4.7	61	?1-1000	咖啡店	餐廳	生口島?瀨戶田	限量版檸檬水售價800日元，但絕對物超所值
SOIL Setoda	4.4	243		3 星級飯店	其他	生口島?瀨戶田	
笑空	4.4	89	?1000-2000	蕎麥麵店	其他	生口島?瀨戶田	"手打蕎麥麵 可以拍 打這個字；
酸白菜豬肉蕎麥麵真的很推 
依照季節有不同的 之前有看過檸檬的"
島???SETODA	4	645		紀念品商店	伴手禮	生口島?瀨戶田	
Wakaba	4.2	202	?1000-2000	海鮮	餐廳	生口島?瀨戶田	
尾道柑橘工房SETODA	4.9	63	?1-1000	咖啡店	餐廳	生口島?瀨戶田	
未來心之丘	4.2	2016		旅遊景點	景點	生口島?瀨戶田	
吳市海事歷史科學館	4.4	16265		古蹟博物館	景點	吳市	
海?Yeah！！！	4	175	?2000-6000	居酒屋	餐廳	吳市	最想吃
定食屋百菜旬 ??????店	4	80	?1000-2000	食堂與定食餐廳	餐廳	吳市	
鳥八茶屋	4.2	362	?3000-7000	日式串燒	餐廳	吳市	
