series,type,level,url,url_official,title
1-1,ubl,master,https://tcg.sfc-jpn.jp/tour.asp?tid=8225008,https://asia.pokemon-card.com/tw/event-search/43644/,2025-26 Taiwan Ultra Ball League Season 1-1 Masters Category
1-1,ubl,senior,,https://asia.pokemon-card.com/tw/event-search/43643/,2025-26 Taiwan Ultra Ball League Season 1-1 Senior Category
1-1,ubl,junior,,https://asia.pokemon-card.com/tw/event-search/43642/,2025-26 Taiwan Ultra Ball League Season 1-1 Junior Category
1-2,ubl,master,https://tcg.sfc-jpn.jp/tour.asp?tid=7560542,https://asia.pokemon-card.com/tw/event-search/44421/,2025-26 臺灣高級球聯盟賽 賽季1-2
1-2,ubl,senior,,https://asia.pokemon-card.com/tw/event-search/44422/,2025-26 臺灣高級球聯盟賽 賽季1-2
1-2,ubl,junior,https://tcg.sfc-jpn.jp/tour.asp?tid=4496745,https://asia.pokemon-card.com/tw/event-search/44423/,2025-26 臺灣高級球聯盟賽 賽季1-2
1-3,ubl,master,https://tcg.sfc-jpn.jp/tour.asp?tid=3189918,https://asia.pokemon-card.com/tw/event-search/44424/,2025-26 臺灣高級球聯盟賽 賽季1-3
1-3,ubl,senior,,https://asia.pokemon-card.com/tw/event-search/44425/,2025-26 臺灣高級球聯盟賽 賽季1-3
1-3,ubl,junior,,https://asia.pokemon-card.com/tw/event-search/44426/,2025-26 臺灣高級球聯盟賽 賽季1-3
1-4,ubl,master,https://tcg.sfc-jpn.jp/tour.asp?tid=9829845,https://asia.pokemon-card.com/tw/event-search/44427/,2025-26 臺灣高級球聯盟賽 賽季1-4
1-4,ubl,senior,,https://asia.pokemon-card.com/tw/event-search/44428/,2025-26 臺灣高級球聯盟賽 賽季1-4
1-4,ubl,junior,,https://asia.pokemon-card.com/tw/event-search/44429/,2025-26 臺灣高級球聯盟賽 賽季1-4
2-1,ubl,master,https://tcg.sfc-jpn.jp/tour.asp?tid=9905152,https://asia.pokemon-card.com/tw/event-search/48267/,2025-26 臺灣高級球聯盟賽 賽季2-1 (大師組)
2-1,ubl,senior,,https://asia.pokemon-card.com/tw/event-search/48268/,2025-26 臺灣高級球聯盟賽 賽季2-1 (少年組)
