season,type,level,url_official,title,organizer,capacity,official_date,venue,address,city,top128_file,top128_count
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43682/,2025-26 Taiwan Great Ball League Season 1,松梅桌遊,70 人,2025-09-06,高雄市前鎮區瑞興街11號,806 高雄市前鎮區瑞興街11號,高雄市,top128_gbl_43682.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43683/,2025-26 Taiwan Great Ball League Season 1,玩坊 桌遊店,70 人,2025-09-06,嘉義市西區博愛路一段365號1樓,600 嘉義縣 嘉義市西區博愛路一段365號1樓,嘉義市,top128_gbl_43683.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43684/,2025-26 Taiwan Great Ball League Season 1,鬥樂一中店,120 人,2025-09-06,台中市北區尊賢街9號4樓,40444 臺中市 台中市北區尊賢街9號4樓,臺中市,top128_gbl_43684.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43685/,2025-26 Taiwan Great Ball League Season 1,塔普卡桌遊卡牌,76 人,2025-09-06,新竹縣竹北市仁義路182號2樓,302 新竹縣竹北市仁義路182號2樓,新竹縣,top128_gbl_43685.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43688/,2025-26 Taiwan Great Ball League Season 1,奇幻桌遊複合式餐廳,66 人,2025-09-06,新北市土城區裕生路21巷6弄37號B1之7(A15),236 新北市土城區裕生路21巷6弄37號B1之7(A15),新北市,top128_gbl_43688.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43692/,2025-26 Taiwan Great Ball League Season 1,桌覓桌遊,66 人,2025-09-07,高雄市苓雅區林泉街38巷9弄7號1樓,802 高雄市苓雅區林泉街38巷9弄7號1樓,高雄市,top128_gbl_43692.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43693/,2025-26 Taiwan Great Ball League Season 1,卡舖啦啦,72 人,2025-09-07,台中市南區復興路二段30-26號2樓,402 臺中市 台中市南區復興路二段30-26號2樓,臺中市,top128_gbl_43693.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43694/,2025-26 Taiwan Great Ball League Season 1,新世紀遊戲館,70 人,2025-09-07,新竹市北區平和街7號2樓,300 新竹市北區平和街7號2樓,新竹市,top128_gbl_43694.csv,31
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43695/,2025-26 Taiwan Great Ball League Season 1,貓腳印松江店,97 人,2025-09-07,台北市中山區南京東路二段95號B1,104 臺北市 台北市中山區南京東路二段95號B1,臺北市,top128_gbl_43695.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43696/,2025-26 Taiwan Great Ball League Season 1,一刻館卡片遊戲專賣店,66 人,2025-09-07,桃園市桃園區中華路43號2樓,330 桃園市桃園區中華路43號2樓,桃園市,top128_gbl_43696.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43697/,2025-26 Taiwan Great Ball League Season 1,紙牌屋,80 人,2025-09-13,台南市東區東門路一段354號10樓,701 臺南市 台南市東區東門路一段354號10樓,臺南市,top128_gbl_43697.csv,32
1,gbl,all,https://asia.pokemon-card.com/tw/event-search/43699/,2025-26 Taiwan Great Ball League Season 1,小蝦米玩具,68 人,2025-09-13,台中市西區朝陽街59之3號,403 臺中市 台中市西區朝陽街59之3號,臺中市,top128_gbl_43699.csv,32
