rank,username,ptcg_id,area,points
1,K.K_Yuhung,tw54152249,高雄市,0pt
2,Giraffe,tw82494238,臺北市,0pt
3,Kenny,tw98425963,新竹縣,0pt
4,Ashton_Chen,tw46877625,臺北市,0pt
5,BensonChang,tw82755386,新北市,0pt
6,Brendan_Chen,tw71161900,臺北市,0pt
7,Hank,tw86591343,新竹市,0pt
8,Ivan-Shark,tw03538932,臺南市,0pt
9,fan,tw61881775,彰化縣,0pt
10,Bubbletea,tw84778743,臺北市,0pt
11,Roy,tw13995413,新北市,0pt
12,tony,tw82928313,高雄市,0pt
13,Hsi,tw37208259,臺北市,0pt
14,Haocho,tw19067728,臺南市,0pt
15,Leroy,tw71688252,新北市,0pt
16,Dean,tw74390718,新北市,0pt
17,KoU_Ray,tw77919530,臺中市,0pt
18,Yule,tw64474352,高雄市,0pt
19,Klefki_Alice1023,tw69121729,高雄市,0pt
20,WEI,tw05738879,新北市,0pt
21,Tristan,tw48530621,臺北市,0pt
22,Kaikaiwang,tw06034751,臺北市,0pt
23,KoU.Yiva,tw48375877,臺中市,0pt
24,Tobby,tw08952821,新竹市,0pt
25,Curry,tw78758706,新北市,0pt
26,Andrew,tw39371632,臺南市,0pt
27,Momotaro,tw69197193,臺北市,0pt
28,KoU_CH,tw09658991,臺中市,0pt
29,Wynne,tw82272345,高雄市,0pt
30,Kouichi,tw98358576,彰化縣,0pt
31,Tina,tw65988397,臺中市,0pt
32,AlanDuh,tw42163963,臺南市,0pt
33,BlackStorm,tw74352344,桃園市,0pt
34,Yuan,tw06637395,新北市,0pt
35,Owen,tw66972389,新北市,0pt
36,Ben,tw49350731,彰化縣,0pt
37,Randy,tw25007020,桃園市,0pt
38,YOYOCHIANG,tw12891908,臺北市,0pt
39,Tim,tw52228600,新竹市,0pt
40,Yen,tw22756831,新北市,0pt
41,Billy,tw44472901,高雄市,0pt
42,Bevis,tw63041398,臺北市,0pt
43,Ander,tw66387397,臺北市,0pt
44,Nemo,tw86826208,臺北市,0pt
45,AlanJiang,tw77684021,新北市,0pt
46,Audi,tw50268688,新北市,0pt
47,Lucas,tw76445156,基隆市,0pt
48,TG_Darren,tw67458411,新北市,0pt
49,Eason,tw03333214,高雄市,0pt
50,Sonic,tw89224755,新竹縣,0pt
51,JeremyPeng,tw73935880,苗栗縣,0pt
52,Frank,tw12320398,桃園市,0pt
53,PikaYen,tw10834493,臺北市,0pt
54,Haha,tw69416767,高雄市,0pt
55,YuCheng,tw60634955,高雄市,0pt
56,Lion,tw26801592,新竹縣,0pt
57,chihua,tw02907113,新北市,0pt
58,Chen-hsiao-yang,tw68355833,臺南市,0pt
59,Rex,tw38788190,彰化縣,0pt
60,LAIYUYU,tw36652243,桃園市,0pt
61,Andric,tw40365551,臺北市,0pt
62,BOBOKING,tw39719937,臺北市,0pt
63,Harry,tw34662212,臺南市,0pt
64,Kys0n31,tw65932690,臺北市,0pt
65,Mia,tw52212483,彰化縣,0pt
66,Bosh,tw92114726,高雄市,0pt
67,Kai,tw25321756,新竹市,0pt
68,Tim,tw52890746,高雄市,0pt
69,Ivy,tw88916703,臺中市,0pt
70,Cooper,tw00440397,新北市,0pt
71,HarryChen,tw67765608,臺北市,0pt
72,Roise,tw95273659,新北市,0pt
73,Yustina,tw10112482,新北市,0pt
74,Miles,tw33000082,臺北市,0pt
75,ChloeLiu,tw72278781,桃園市,0pt
76,JSC,tw48538169,臺北市,0pt
77,Eason,tw80481404,高雄市,0pt
78,Jimmy,tw58925393,臺北市,0pt
79,MIA,tw62394804,臺南市,0pt
80,Oliver,tw85693137,彰化縣,0pt
81,VicHu,tw52539551,臺北市,0pt
82,Diego_Chang,tw19962622,桃園市,0pt
83,JEFF-DDDD,tw09068225,臺中市,0pt
84,Winnie,tw23137545,新竹市,0pt
85,Amber17,tw02765494,新北市,0pt
86,Jimmy,tw88584663,苗栗縣,0pt
87,JinYi,tw95074743,新北市,0pt
88,Manson,tw47765933,新北市,0pt
89,Tung,tw21443160,新竹市,0pt
90,bibiliou1106,tw80050703,高雄市,0pt
91,Duke,tw59699947,臺北市,0pt
92,MysteriousM0314,tw06221510,臺北市,0pt
93,芃芃,tw32711938,高雄市,0pt
94,Big3_Anders,tw49924330,臺中市,0pt
95,Bonjour,tw09395817,新北市,0pt
96,Eddie,tw14386391,桃園市,0pt
97,Jaden,tw75543412,新北市,0pt
98,Jayden,tw49525131,臺北市,0pt
99,Liam,tw86544614,桃園市,0pt
100,Luzia,tw07841936,桃園市,0pt
101,RockYao,tw68417234,臺北市,0pt
102,Ryan,tw02583881,新北市,0pt
103,Shin0919,tw65912070,新北市,0pt
104,Timmy,tw14794857,桃園市,0pt
105,^=^,tw67831953,桃園市,0pt
106,max,tw18767712,臺中市,0pt
107,wei,tw41862913,雲林縣,0pt
108,Benny,tw30149588,臺中市,0pt
109,ROY,tw88140982,臺中市,0pt
110,Kobe,tw05857437,新北市,0pt
111,BST Richard,tw07494906,臺中市,0pt
112,BST_Winston,tw21561947,臺中市,0pt
113,Cynthia122,tw13046045,新竹縣,0pt
114,Esther,tw78207749,臺北市,0pt
115,JeremyLu,tw63611451,新北市,0pt
116,Mara,tw42816284,高雄市,0pt
117,Mi9mimi9,tw04866459,彰化縣,0pt
118,Ollie,tw40588548,新北市,0pt
119,WalkingRock,tw54942718,臺北市,0pt
120,蔡仲稦,tw89832715,桃園市,0pt
121,Chiara,tw15384084,新北市,0pt
122,Morpeko,tw90786092,臺北市,0pt
123,POPOLink,tw08948324,新北市,0pt
124,Ze,tw78454431,臺中市,0pt
125,Ollie,tw55813053,桃園市,0pt
126,Addison,tw38874392,臺中市,0pt
127,Albert,tw86130021,彰化縣,0pt
128,Benjamin,tw06198131,新北市,0pt
129,Chi,tw99857258,宜蘭縣,0pt
130,Cindy,tw07103027,新北市,0pt
131,HERO,tw13886746,新北市,0pt
132,Handsome_Elmo,tw24866240,高雄市,0pt
133,Jeff,tw64123148,彰化縣,0pt
134,Kebbi,tw39637174,桃園市,0pt
135,Linus,tw13023402,臺北市,0pt
136,Max,tw06634632,臺北市,0pt
137,Max0918,tw42005868,臺南市,0pt
138,Musk,tw03623052,新北市,0pt
139,Nash,tw35077402,新竹市,0pt
140,PokemonPTCGP,tw38378986,新北市,0pt
141,QQ,tw35923025,臺南市,0pt
142,RHCHANG,tw61342334,新竹市,0pt
143,Raymond,tw94758573,新北市,0pt
144,Ryder,tw65758855,新北市,0pt
145,SmallJay,tw58297741,屏東縣,0pt
146,eddiechuang,tw00624922,臺北市,0pt
147,Andy,tw42516222,新北市,0pt
148,Ming,tw53095361,高雄市,0pt
149,Brian,tw42668876,新北市,0pt
150,Adam,tw40727736,臺北市,0pt
151,Ariel,tw07200032,高雄市,0pt
152,Bohan,tw28239982,臺北市,0pt
153,CurryHsu,tw02633302,桃園市,0pt
154,Evan-panda,tw01602665,臺北市,0pt
155,IanChu,tw17849731,桃園市,0pt
156,JasonCheng,tw42256001,新北市,0pt
157,Jerry,tw28581277,新北市,0pt
158,Jessie,tw48498418,臺北市,0pt
159,Jimmy,tw92190914,桃園市,0pt
160,Joeyku,tw44561682,新北市,0pt
161,Ken_LI,tw98375206,新北市,0pt
162,Lester,tw22254647,彰化縣,0pt
163,OP-GuYouCheng,tw70992269,臺中市,0pt
164,Oscar,tw90174716,新北市,0pt
165,RayHsu,tw48444075,新北市,0pt
166,RayLo,tw11863950,臺北市,0pt
167,Rex,tw98146359,新北市,0pt
168,RexTsao,tw96773257,桃園市,0pt
169,Richardlin,tw79839806,臺北市,0pt
170,Rick,tw67514618,新北市,0pt
171,"WANG,PIN-JUI",tw89242970,新北市,0pt
172,WenJin,tw80794690,桃園市,0pt
173,cl0324,tw02787975,桃園市,0pt
174,seanhh1006,tw35923132,臺北市,0pt
175,Bruce,tw65586414,苗栗縣,0pt
176,OP_Amber,tw97154037,臺中市,0pt
177,Adrien,tw28078413,新北市,0pt
178,Daniel,tw43951645,臺南市,0pt
179,Eugenia,tw72949917,臺北市,0pt
180,Klefki_Evan,tw58170732,高雄市,0pt
181,Leo,tw82777276,苗栗縣,0pt
182,Zoey_Fan,tw21246501,新北市,0pt
183,SuJi,tw72375538,高雄市,0pt
184,Vic,tw56703325,新北市,0pt
185,CarterHsu,tw59356681,臺中市,0pt
186,Charles,tw71355273,苗栗縣,0pt
187,Freddy,tw63803647,高雄市,0pt
188,Joseph,tw53429128,彰化縣,0pt
189,Li,tw55474671,臺南市,0pt
190,Louis,tw39037279,嘉義市,0pt
191,Matthew,tw13004657,高雄市,0pt
192,Ziyu,tw24353338,南投縣,0pt
193,則則,tw46778389,高雄市,0pt
194,Aaron,tw45872304,新北市,0pt
195,Andrew,tw91728744,高雄市,0pt
196,Austin0120,tw50551352,桃園市,0pt
197,BST_Liam,tw51976601,臺中市,0pt
198,Darren-Monkey,tw53737347,宜蘭縣,0pt
199,Devin,tw14109317,臺北市,0pt
200,EricSu,tw36230915,新竹縣,0pt
201,Gary2017,tw64960649,新北市,0pt
202,Hank,tw59589233,新北市,0pt
203,Hank,tw17473021,臺中市,0pt
204,Ian,tw25712407,桃園市,0pt
205,Jack,tw41895447,桃園市,0pt
206,Ling0222,tw92537962,彰化縣,0pt
207,Lucas,tw93186349,新北市,0pt
208,OP_BENSON,tw77088088,苗栗縣,0pt
209,Owen,tw63137219,臺北市,0pt
210,Pattywu,tw90858467,臺中市,0pt
211,Ponyo,tw55552824,新北市,0pt
212,Rex,tw03798354,新北市,0pt
213,Robert,tw82644400,新北市,0pt
214,Sam,tw25513412,宜蘭縣,0pt
215,TG_Yule,tw04925681,臺中市,0pt
216,Tommy0125,tw29555686,新北市,0pt
217,Will,tw91149697,臺北市,0pt
218,Yu,tw58745749,高雄市,0pt
219,Zion,tw42397162,新北市,0pt
220,andy0518,tw18947254,新北市,0pt
221,dondon1017,tw94468423,新北市,0pt
222,elio,tw13385115,臺中市,0pt
223,harper,tw85968628,臺北市,0pt
224,Charizard,tw27301563,臺南市,0pt
225,Chiara,tw44446459,新北市,0pt
226,Christina,tw91114690,臺中市,0pt
227,Claire,tw87312651,苗栗縣,0pt
228,Leo,tw01111702,臺中市,0pt
229,Maxtsao2017,tw74970005,臺中市,0pt
230,Nemo,tw27928464,臺南市,0pt
231,RyanUr,tw75760219,彰化縣,0pt
232,Woody,tw17216363,高雄市,0pt
233,YUTZUCHUN,tw11586070,臺北市,0pt
234,didiliou0812,tw94807838,高雄市,0pt
235,Casey,tw95217273,臺南市,0pt
236,Gaga,tw78560483,臺北市,0pt
237,MIA,tw81941730,臺中市,0pt
238,********************,tw73733824,臺南市,0pt
239,********************,tw58929225,高雄市,0pt
240,********************,tw90804846,高雄市,0pt
241,007,tw72008579,桃園市,0pt
242,410,tw78831210,臺北市,0pt
243,500,tw29979802,桃園市,0pt
244,20151005001,tw92539805,苗栗縣,0pt
245,@Hower,tw83249375,高雄市,0pt
246,A107343686,tw80669380,屏東縣,0pt
247,AAOA,tw10149794,臺中市,0pt
248,ALLEN03176922,tw31328173,臺北市,0pt
249,ANDY,tw21962415,新北市,0pt
250,Aa1014,tw20997286,屏東縣,0pt
251,Aaron,tw30547134,臺北市,0pt
252,AaronChen,tw87786791,新竹縣,0pt
253,Abby,tw63503878,桃園市,0pt
254,Abby,tw83642164,桃園市,0pt
255,Abubu,tw63652660,新竹縣,0pt
256,Ace,tw94835821,基隆市,0pt
257,Adam,tw94161499,桃園市,0pt
258,Adem,tw39158973,新竹縣,0pt
259,Aerith,tw69774476,新竹市,0pt
260,Aiden,tw36758652,臺北市,0pt
261,Aix,tw83709077,新北市,0pt
262,Ajiang,tw10437106,新竹縣,0pt
263,Alan1126,tw15165847,高雄市,0pt
264,Albert,tw61655586,高雄市,0pt
265,Alisa,tw99770826,彰化縣,0pt
266,Alison,tw63300150,桃園市,0pt
267,Allen,tw43708137,高雄市,0pt
268,Allen,tw95996047,高雄市,0pt
269,Alston,tw39746201,桃園市,0pt
