rank,username,ptcg_id,area,points
1,Tiger,tw15435377,新北市,0pt
2,NiHao_WoChiYiDian,tw56336073,臺中市,0pt
3,Galaxy,tw27568465,臺中市,0pt
4,曉致,tw63508480,高雄市,0pt
5,TCGSTORE_阿元,tw79280986,臺北市,0pt
6,Ray,tw73106123,高雄市,0pt
7,BossTang,tw48793078,基隆市,0pt
8,Jiao,tw78403870,新北市,0pt
9,LUN,tw56605426,臺南市,0pt
10,shawn,tw42309306,臺中市,0pt
11,Yeen,tw73048413,臺南市,0pt
12,TopCard_Fu,tw77877383,新竹縣,0pt
13,aaaa,tw36759052,臺中市,0pt
14,DCG_01,tw24854365,新竹縣,0pt
15,Danyang,tw03132048,高雄市,0pt
16,cian,tw78657682,高雄市,0pt
17,Mr.Gengar,tw05925639,臺中市,0pt
18,DKA_PIGRIGHT0,tw93433450,宜蘭縣,0pt
19,Heisenberg,tw22529091,臺北市,0pt
20,Moon,tw97931731,臺北市,0pt
21,Stanley.LAI,tw29404493,臺中市,0pt
22,Akashi,tw23764220,彰化縣,0pt
23,ZIYI777,tw69848864,新北市,0pt
24,Chuangbob,tw59842400,新竹市,0pt
25,JEFF,tw33544977,新北市,0pt
26,86,tw94971550,臺北市,0pt
27,XJH_Fengshen,tw15026318,新北市,0pt
28,Viveka,tw21820105,桃園市,0pt
29,DONG_JI_WU,tw59054436,臺中市,0pt
30,Modred1104,tw44821842,臺中市,0pt
31,PoYangHsu,tw10141695,高雄市,0pt
32,海豹姐,tw01909140,彰化縣,0pt
33,ClawsTY Martin,tw76086171,桃園市,0pt
34,Ianyang,tw45485735,高雄市,0pt
35,瘋桌遊楠梓店正老闆徵闆娘！,tw02559687,高雄市,0pt
36,TCGSTORE_MASSA,tw85147749,臺北市,0pt
37,will,tw79188375,高雄市,0pt
38,BenT,tw76470686,臺南市,0pt
39,TEAM_David,tw10467123,臺北市,0pt
40,QQ,tw26175828,臺中市,0pt
41,R1n90,tw23226571,新北市,0pt
42,LINCHEHSUAN,tw95954871,臺北市,0pt
43,GMS-YO,tw93955100,臺南市,0pt
44,kazma,tw04461037,臺北市,0pt
45,哈力栗,tw44344603,高雄市,0pt
46,GHG_PeterWine,tw16132632,宜蘭縣,0pt
47,ChenMinQian,tw75551324,苗栗縣,0pt
48,"Chang,I-Hsiang",tw89343025,臺中市,0pt
49,ScreamTail,tw42619935,臺南市,0pt
50,Shanks,tw28750216,新北市,0pt
51,Mark,tw46076033,高雄市,0pt
52,Nick,tw55000893,臺中市,0pt
53,DCG_2330,tw46798799,臺北市,0pt
54,StrongOrange,tw97885633,臺南市,0pt
55,L,tw18638755,彰化縣,0pt
56,lkkder,tw06441088,高雄市,0pt
57,HiddenSquid,tw00387540,桃園市,0pt
58,Johnny,tw50567676,苗栗縣,0pt
59,yuyu614,tw11292760,臺北市,0pt
60,Snake,tw01024875,新北市,0pt
61,rabbit,tw24203947,新北市,0pt
62,13,tw39174853,臺南市,0pt
63,南呱,tw32214798,雲林縣,0pt
64,Bob,tw13624938,彰化縣,0pt
65,DQ,tw20116252,桃園市,0pt
66,Wei,tw53723254,臺中市,0pt
67,AndyChou,tw44127879,新北市,0pt
68,Jack,tw54430001,新竹市,0pt
69,Laolio,tw29536370,新北市,0pt
70,XRY,tw93076075,臺中市,0pt
71,Yang,tw60273793,高雄市,0pt
72,阿童,tw39185310,臺北市,0pt
73,Cookie,tw42912360,高雄市,0pt
74,Towasamalike,tw23205294,臺南市,0pt
75,CaiMingFeng,tw51147332,新北市,0pt
76,DCG_M1DSKY,tw16152234,新竹市,0pt
77,NewBee,tw59096586,桃園市,0pt
78,Zhaorui,tw88780324,臺中市,0pt
79,rio1022,tw68088789,高雄市,0pt
80,Miltank,tw46795660,臺北市,0pt
81,HaveFun-WeiWei,tw35839691,桃園市,0pt
82,Minatsuki,tw30477292,高雄市,0pt
83,Jyun,tw35995465,高雄市,0pt
84,DCG_J35815916,tw09574160,高雄市,0pt
85,Mapu0215,tw81121676,臺中市,0pt
86,NewFlavors,tw17203659,臺北市,0pt
87,罐頭,tw45806310,高雄市,0pt
88,Diamond,tw57017359,臺北市,0pt
89,Osnyani,tw97138451,新竹市,0pt
90,Aki,tw41073870,臺中市,0pt
91,Habu,tw79878183,高雄市,0pt
92,ChunLun,tw82981600,新北市,0pt
93,Giles,tw52127289,新北市,0pt
94,J4son,tw97135682,臺中市,0pt
95,Luffy87512,tw96909333,桃園市,0pt
96,watermelon,tw54760232,高雄市,0pt
97,GHG_Andro,tw20198051,新北市,0pt
98,GMS_Mew,tw67759215,新北市,0pt
99,HornyBat,tw81886933,臺北市,0pt
100,JimmyTai,tw39894258,新北市,0pt
101,Wen,tw08814300,新北市,0pt
102,Nine-tailedfox,tw87180928,桃園市,0pt
103,Yang-Qi-Jun,tw93858918,新北市,0pt
104,shang,tw75204861,新北市,0pt
105,Rukai-Warriors,tw96137948,屏東縣,0pt
106,Sin,tw61279434,高雄市,0pt
107,Pierre_Cashon,tw76059026,新北市,0pt
108,Hsiang,tw49877892,桃園市,0pt
109,Jiago,tw35707148,臺南市,0pt
110,KHJL,tw33425386,臺北市,0pt
111,LMK,tw75774280,高雄市,0pt
112,Nkrs,tw29121960,新北市,0pt
113,TsaiYaoChing,tw76258268,屏東縣,0pt
114,XJH_Tangfen,tw02826499,新北市,0pt
115,Bruce,tw32869182,臺北市,0pt
116,XJH_HANGO,tw67199394,新北市,0pt
117,shan,tw86177796,彰化縣,0pt
118,Gai,tw89609352,桃園市,0pt
119,Hank,tw33274690,臺北市,0pt
120,Jeremy0224,tw58817602,臺北市,0pt
121,Jerry,tw45498080,臺中市,0pt
122,OP_Chai,tw52194649,臺中市,0pt
123,WunHao,tw89644458,臺北市,0pt
124,LeiDog,tw35416653,臺北市,0pt
125,TuHungHsiang,tw67479231,新北市,0pt
126,bamboo,tw65483922,新北市,0pt
127,BO_YING,tw72333956,新北市,0pt
128,HuangPoTsun,tw35735135,臺中市,0pt
129,JoeChen,tw45324854,新北市,0pt
130,ericyang,tw96387195,新北市,0pt
131,ChenChuXiang,tw66134077,嘉義縣,0pt
132,Ricky,tw42527004,臺南市,0pt
133,翻轉-黃偉哲,tw40852343,臺南市,0pt
134,Bill,tw88559975,臺中市,0pt
135,GZ_ChuanGe,tw40123518,臺北市,0pt
136,Ken,tw82119121,臺南市,0pt
137,薄荷Echo,tw55332465,高雄市,0pt
138,ChiMing,tw36747145,桃園市,0pt
139,^-^,tw16965198,臺北市,0pt
140,Fin,tw88792767,新北市,0pt
141,Forehead,tw37173355,新北市,0pt
142,Warrior5454,tw54988993,桃園市,0pt
143,kang,tw92544749,新北市,0pt
144,ting,tw18906406,新北市,0pt
145,享玩_帆帆帆帆,tw69069593,桃園市,0pt
146,ChengChih,tw91826663,桃園市,0pt
147,LinPo,tw79802506,高雄市,0pt
148,ADi,tw99926791,嘉義市,0pt
149,Knightvc,tw64863333,新北市,0pt
150,Pinkey,tw04722294,高雄市,0pt
