rank,username,ptcg_id,area,points
1,JayWu100,tw85313935,新北市,0pt
2,TCGSTORE_SHAOTONG,tw03103631,臺北市,0pt
3,TheONE_LINYOUYI,tw08069127,新北市,0pt
4,kevin,tw48711959,彰化縣,0pt
5,FanFan,tw76708967,新北市,0pt
6,andrew,tw00057543,新北市,0pt
7,YuAn._84,tw12769027,新北市,0pt
8,James,tw34406887,新竹縣,0pt
9,Toby,tw29265523,新北市,0pt
10,TheONE_KuoPinYi,tw96234784,臺北市,0pt
11,Iyiu,tw57615176,彰化縣,0pt
12,smallfiredragon,tw12360786,新北市,0pt
13,Evan,tw91677599,新北市,0pt
14,Tim,tw89368672,新北市,0pt
15,AndrewChung,tw89973725,高雄市,0pt
16,Jerry,tw09468385,臺北市,0pt
17,LINCHENJUI,tw91466649,新北市,0pt
18,B.N.C 林宇廷,tw37556303,高雄市,0pt
19,Anka,tw54587316,新北市,0pt
20,TCGSTORE_Mike,tw55774266,桃園市,0pt
21,Rich,tw36653768,新北市,0pt
22,benjamin,tw40670915,桃園市,0pt
23,Dream-N1ARK,tw54462001,高雄市,0pt
24,HAO-YU,tw65972314,新北市,0pt
25,ED,tw97066779,高雄市,0pt
26,Henry,tw82259698,新竹市,0pt
27,Benjamin,tw99268898,臺北市,0pt
28,Wade010926,tw42986392,臺北市,0pt
29,PTCG-BOY,tw18142838,臺北市,0pt
30,Leon,tw49181959,新北市,0pt
31,KB_QQQQQQ,tw42619471,新北市,0pt
32,Joshua,tw58176881,新竹市,0pt
33,Kayson,tw81419386,新北市,0pt
34,Mew_宥緯wade,tw81124094,新北市,0pt
35,Jimmy,tw22147179,新竹縣,0pt
36,Santos,tw70719415,新竹縣,0pt
37,1-3,tw66599212,彰化縣,0pt
38,B.N.C 林奕杰,tw75131206,高雄市,0pt
39,Sean,tw65322738,臺北市,0pt
40,zivchen,tw30267620,臺中市,0pt
41,Abner-N1ARK,tw71084142,高雄市,0pt
42,MJ,tw00570442,臺北市,0pt
43,POCHUN.CHEN,tw94001188,新竹縣,0pt
44,Sunny,tw50896397,新竹縣,0pt
45,XiJinping,tw97165922,新竹市,0pt
46,EricYang,tw04887888,高雄市,0pt
47,Joseph,tw45957987,新北市,0pt
48,Klefki_Timmy,tw74697953,高雄市,0pt
49,Legoboy,tw97627454,桃園市,0pt
50,PAISELY,tw48442445,臺北市,0pt
51,Yuki,tw24617527,新北市,0pt
52,Willy,tw38952785,桃園市,0pt
53,aurora,tw58040892,新北市,0pt
54,PEIN,tw82187253,桃園市,0pt
55,PLAY,tw33344901,彰化縣,0pt
56,YOYO,tw51675689,桃園市,0pt
57,Shirakami,tw54665545,高雄市,0pt
58,Wilson,tw66007671,新北市,0pt
59,OceanTsoi,tw49113528,新竹縣,0pt
60,Stanley040402,tw46899884,新北市,0pt
61,波加曼弟弟,tw32638091,臺北市,0pt
62,EdwardJR,tw14778853,臺北市,0pt
63,Watermelon,tw42807216,新北市,0pt
64,Cheng1117,tw91113369,彰化縣,0pt
65,larry-N1ARK,tw99589299,高雄市,0pt
