rank,username,ptcg_id,area,points
1,JayWu100,tw85313935,新北市,292pt
2,James,tw34406887,新竹縣,252pt
3,TCGSTORE_SHAOTONG,tw03103631,臺北市,250pt
3,TheONE_LINYOUYI,tw08069127,新北市,250pt
5,andrew,tw00057543,新北市,249pt
6,Toby,tw29265523,新北市,224pt
7,kevin,tw48711959,彰化縣,220pt
8,FanFan,tw76708967,新北市,213pt
9,Evan,tw91677599,新北市,212pt
10,Iyiu,tw57615176,彰化縣,209pt
11,TheONE_KuoPinYi,tw96234784,臺北市,191pt
12,Jerry,tw09468385,臺北市,188pt
13,LINCHENJUI,tw91466649,新北市,185pt
14,B.N.C 林宇廷,tw37556303,高雄市,177pt
14,Tim,tw89368672,新北市,177pt
16,Anka,tw54587316,新北市,162pt
17,AndrewChung,tw89973725,高雄市,155pt
17,YuAn._84,tw12769027,新北市,155pt
19,TCGSTORE_Mike,tw55774266,桃園市,153pt
20,benjamin,tw40670915,桃園市,150pt
21,Rich,tw36653768,新北市,141pt
22,HAO-YU,tw65972314,新北市,139pt
23,Leon,tw49181959,新北市,137pt
24,PTCG-BOY,tw18142838,臺北市,135pt
25,Henry,tw82259698,新竹市,132pt
26,Mew_宥緯wade,tw81124094,新北市,129pt
27,Jimmy,tw22147179,新竹縣,128pt
28,1-3,tw66599212,彰化縣,122pt
29,ED,tw97066779,高雄市,120pt
30,Wade010926,tw42986392,臺北市,119pt
30,smallfiredragon,tw12360786,新北市,119pt
32,KB_QQQQQQ,tw42619471,新北市,117pt
33,Joshua,tw58176881,新竹市,113pt
34,POCHUN.CHEN,tw94001188,新竹縣,106pt
35,B.N.C 林奕杰,tw75131206,高雄市,100pt
36,Joseph,tw45957987,新北市,99pt
36,Legoboy,tw97627454,桃園市,99pt
36,PAISELY,tw48442445,臺北市,99pt
39,Sunny,tw50896397,新竹縣,98pt
40,Benjamin,tw99268898,臺北市,97pt
40,Yuki,tw24617527,新北市,97pt
42,EricYang,tw04887888,高雄市,96pt
43,Klefki_Timmy,tw74697953,高雄市,95pt
44,PLAY,tw33344901,彰化縣,93pt
44,YOYO,tw51675689,桃園市,93pt
46,Dream-N1ARK,tw54462001,高雄市,92pt
47,Santos,tw70719415,新竹縣,91pt
48,Sean,tw65322738,臺北市,87pt
49,OceanTsoi,tw49113528,新竹縣,85pt
49,Stanley040402,tw46899884,新北市,85pt
49,波加曼弟弟,tw32638091,臺北市,85pt
52,PEIN,tw82187253,桃園市,84pt
53,MJ,tw00570442,臺北市,83pt
54,Abner-N1ARK,tw71084142,高雄市,81pt
55,Wilson,tw66007671,新北市,79pt
56,Willy,tw38952785,桃園市,78pt
57,aurora,tw58040892,新北市,77pt
58,CCT_Shirakami,tw54665545,高雄市,75pt
58,Kayson,tw81419386,新北市,75pt
58,Watermelon,tw42807216,新北市,75pt
58,larry-N1ARK,tw99589299,高雄市,75pt
62,EdwardJR,tw14778853,臺北市,73pt
63,Sean-N1ARK,tw36617899,高雄市,67pt
63,StarCurry,tw41768227,彰化縣,67pt
65,JPL,tw70889763,新北市,66pt
66,Leo,tw75837772,新北市,65pt
66,Z,tw14181070,高雄市,65pt
68,David,tw87203702,新北市,64pt
68,zivchen,tw30267620,臺中市,64pt
70,LiBoyu,tw43248631,臺中市,63pt
71,Hsun,tw92487491,臺北市,62pt
72,Louis,tw13785127,新北市,61pt
73,Wilson,tw24152665,彰化縣,60pt
73,baobaobaby530,tw78670690,臺北市,60pt
75,CHANGCHIAHAO,tw46558789,新北市,59pt
75,Lloyd,tw51338463,臺中市,59pt
77,Ethan,tw69338512,臺南市,58pt
78,Rueisian,tw28186951,新北市,55pt
79,Marc,tw80275315,高雄市,54pt
79,TCGSTORE_Martin,tw93782599,桃園市,54pt
79,WilsonChang,tw95761035,桃園市,54pt
82,Stalin,tw76224514,新北市,52pt
83,Ian-N1ARK,tw01545475,高雄市,51pt
83,kan,tw30732451,苗栗縣,51pt
83,yichen,tw34688965,高雄市,51pt
86,Cheng1117,tw91113369,彰化縣,50pt
86,Jackson,tw58668941,南投縣,50pt
86,OP-Mantou,tw20495370,臺中市,50pt
89,FormoSHA,tw86807905,臺北市,49pt
89,KB_Cooper,tw05033566,臺北市,49pt
91,vegetable,tw15743285,高雄市,48pt
92,Andy,tw19089077,苗栗縣,47pt
93,Eli,tw61299751,高雄市,46pt
94,Ryan,tw62205605,高雄市,45pt
95,Austin,tw12786878,臺北市,44pt
95,PingYu,tw05602573,高雄市,44pt
97,Cola,tw00060663,新北市,41pt
98,Ray,tw59978529,臺南市,40pt
98,Swps,tw40262046,高雄市,40pt
98,chang1101,tw56108597,宜蘭縣,40pt
101,totototo,tw26186753,高雄市,39pt
102,hank,tw63175813,桃園市,38pt
103,DE-WEN,tw61835075,高雄市,37pt
104,Dr.GMBRayRay,tw58703570,高雄市,36pt
104,henrik1119,tw09082546,新北市,36pt
106,Chenyikai,tw40017812,新北市,35pt
106,JACK-GGGG,tw25540877,臺中市,35pt
106,Ryan-N1ARK,tw74434118,高雄市,35pt
106,Xuan,tw90553997,苗栗縣,35pt
106,silei990113,tw26640245,基隆市,35pt
111,蔡仲硯,tw84697938,桃園市,34pt
112,LIN-YU-HSI,tw68956700,高雄市,32pt
112,Young517,tw95299182,南投縣,32pt
114,LiaoZhenghao,tw11792037,臺中市,31pt
114,Toby,tw37286261,臺北市,31pt
114,andy,tw88607252,臺中市,31pt
117,Ben,tw72893589,新北市,30pt
117,Luke,tw61878373,臺北市,30pt
117,Terry,tw84616467,高雄市,30pt
117,towaandsuiseisuki,tw94634524,彰化縣,30pt
121,Bernard,tw58300323,宜蘭縣,28pt
121,Chester,tw96313655,臺中市,28pt
123,CHENG,tw32525217,新竹縣,27pt
124,Cct_Kuro,tw75152965,高雄市,26pt
124,Timmy,tw05499634,新北市,26pt
124,Tinlin,tw14215402,宜蘭縣,26pt
127,Alan,tw18197442,臺北市,25pt
127,KBAlan,tw60895624,臺北市,25pt
127,Leohu,tw80676630,臺北市,25pt
127,Momkey,tw32503844,新北市,25pt
127,Sun,tw02578849,臺北市,25pt
127,WUJIAAN,tw94009574,彰化縣,25pt
133,bruno,tw48025754,新北市,24pt
134,Dio,tw89855200,桃園市,23pt
134,Zoe,tw23419853,新北市,23pt
134,mario,tw39857794,臺北市,23pt
137,112,tw90833842,桃園市,22pt
137,Jirachi_chen,tw04996089,臺南市,22pt
137,Leo,tw00444865,高雄市,22pt
137,Zhamao.,tw53413653,新北市,22pt
137,oneday,tw26859059,高雄市,22pt
137,yoyo-N1ARK,tw87775945,高雄市,22pt
143,Jerrychi,tw52648273,臺中市,21pt
144,0,tw69848771,臺北市,20pt
