rank,username,ptcg_id,area,points
1,K.K_Yuhung,tw54152249,高雄市,380pt
2,Giraffe,tw82494238,臺北市,350pt
3,Kenny,tw98425963,新竹縣,305pt
4,Ashton_Chen,tw46877625,臺北市,300pt
4,BensonChang,tw82755386,新北市,300pt
6,Brendan_Chen,tw71161900,臺北市,295pt
7,Kouichi,tw98358576,彰化縣,283pt
8,Dean,tw74390718,新北市,269pt
9,Hank,tw86591343,新竹市,240pt
10,Ivan-Shark,tw03538932,臺南市,235pt
11,fan,tw61881775,彰化縣,230pt
12,Bubbletea,tw84778743,臺北市,225pt
12,Hsi,tw37208259,臺北市,225pt
14,Roy,tw13995413,新北市,224pt
15,tony,tw82928313,高雄市,221pt
16,Haocho,tw19067728,臺南市,207pt
17,Leroy,tw71688252,新北市,206pt
18,Yule,tw64474352,高雄市,205pt
19,KoU_Ray,tw77919530,臺中市,195pt
20,Klefki_Alice1023,tw69121729,高雄市,192pt
21,WEI,tw05738879,新北市,188pt
22,Tristan,tw48530621,臺北市,180pt
22,KoU.Yiva,tw48375877,臺中市,180pt
22,Curry,tw78758706,新北市,180pt
25,Kaikaiwang,tw06034751,臺北市,175pt
26,Tobby,tw08952821,新竹市,170pt
27,Andrew,tw39371632,臺南市,163pt
28,Momotaro,tw69197193,臺北市,155pt
28,YOYOCHIANG,tw12891908,臺北市,155pt
30,KoU_CH,tw09658991,臺中市,150pt
31,Wynne,tw82272345,高雄市,145pt
32,BlackStorm,tw74352344,桃園市,138pt
33,Tina,tw65988397,臺中市,135pt
34,Bevis,tw63041398,臺北市,131pt
35,AlanDuh,tw42163963,臺南市,130pt
36,Yuan,tw06637395,新北市,123pt
37,Owen,tw66972389,新北市,120pt
38,Ben,tw49350731,彰化縣,119pt
39,Randy,tw25007020,桃園市,116pt
40,Yen,tw22756831,新北市,113pt
40,Billy,tw44472901,高雄市,113pt
42,Tim,tw52228600,新竹市,112pt
43,Frank,tw12320398,桃園市,105pt
44,Ander,tw66387397,臺北市,95pt
45,Sonic,tw89224755,新竹縣,94pt
46,Nemo,tw86826208,臺北市,91pt
46,JeremyPeng,tw73935880,苗栗縣,91pt
48,AlanJiang,tw77684021,新北市,90pt
49,Audi,tw50268688,新北市,89pt
49,Lucas,tw76445156,基隆市,89pt
49,TG_Darren,tw67458411,新北市,89pt
52,Eason,tw03333214,高雄市,87pt
53,chihua,tw02907113,新北市,85pt
54,Oliver,tw85693137,彰化縣,84pt
55,Lion,tw26801592,新竹縣,83pt
56,PikaYen,tw10834493,臺北市,80pt
57,Haha,tw69416767,高雄市,79pt
58,YuCheng,tw60634955,高雄市,78pt
59,Chen-hsiao-yang,tw68355833,臺南市,77pt
60,max,tw18767712,臺中市,75pt
61,Bosh,tw92114726,高雄市,74pt
62,Harry,tw34662212,臺南市,71pt
63,Ollie,tw40588548,新北市,70pt
64,Rex,tw38788190,彰化縣,65pt
65,Mia,tw52212483,彰化縣,60pt
65,HarryChen,tw67765608,臺北市,60pt
67,Kai,tw25321756,新竹市,58pt
68,Ivy,tw88916703,臺中市,57pt
69,LAIYUYU,tw36652243,桃園市,53pt
70,Yustina,tw10112482,新北市,51pt
71,Andric,tw40365551,臺北市,50pt
71,BOBOKING,tw39719937,臺北市,50pt
71,Kys0n31,tw65932690,臺北市,50pt
74,Tim,tw52890746,高雄市,48pt
74,Winnie,tw23137545,新竹市,48pt
76,Cooper,tw00440397,新北市,45pt
76,Jimmy,tw88584663,苗栗縣,45pt
78,Roise,tw95273659,新北市,44pt
79,Miles,tw33000082,臺北市,40pt
80,ChloeLiu,tw72278781,桃園市,39pt
81,JSC,tw48538169,臺北市,36pt
82,Eason,tw80481404,高雄市,35pt
82,Jimmy,tw58925393,臺北市,35pt
82,Luzia,tw07841936,桃園市,35pt
82,Shin0919,tw65912070,新北市,35pt
82,Lester,tw22254647,彰化縣,35pt
87,MIA,tw62394804,臺南市,34pt
87,VicHu,tw52539551,臺北市,34pt
89,Diego_Chang,tw19962622,桃園市,33pt
89,JEFF-DDDD,tw09068225,臺中市,33pt
91,Amber17,tw02765494,新北市,30pt
91,JinYi,tw95074743,新北市,30pt
91,Manson,tw47765933,新北市,30pt
91,Tung,tw21443160,新竹市,30pt
91,Pattywu,tw90858467,臺中市,30pt
96,Chiara,tw15384084,新北市,29pt
97,bibiliou1106,tw80050703,高雄市,27pt
98,Duke,tw59699947,臺北市,26pt
98,MysteriousM0314,tw06221510,臺北市,26pt
98,芃芃,tw32711938,高雄市,26pt
101,Big3_Anders,tw49924330,臺中市,25pt
101,Bonjour,tw09395817,新北市,25pt
101,Eddie,tw14386391,桃園市,25pt
101,Jaden,tw75543412,新北市,25pt
101,Jayden,tw49525131,臺北市,25pt
101,Liam,tw86544614,桃園市,25pt
101,RockYao,tw68417234,臺北市,25pt
101,Ryan,tw02583881,新北市,25pt
101,Timmy,tw14794857,桃園市,25pt
101,^=^,tw67831953,桃園市,25pt
101,wei,tw41862913,雲林縣,25pt
101,Albert,tw86130021,彰化縣,25pt
101,Ariel,tw07200032,高雄市,25pt
101,Miles,tw73516405,臺中市,25pt
115,Benny,tw30149588,臺中市,23pt
115,ROY,tw88140982,臺中市,23pt
117,Kobe,tw05857437,新北市,21pt
118,BST Richard,tw07494906,臺中市,20pt
118,BST_Winston,tw21561947,臺中市,20pt
118,Cynthia122,tw13046045,新竹縣,20pt
118,Esther,tw78207749,臺北市,20pt
118,JeremyLu,tw63611451,新北市,20pt
118,Mara,tw42816284,高雄市,20pt
118,Mi9mimi9,tw04866459,彰化縣,20pt
118,WalkingRock,tw54942718,臺北市,20pt
118,蔡仲稦,tw89832715,桃園市,20pt
118,Joeyku,tw44561682,新北市,20pt
118,RayHsu,tw48444075,新北市,20pt
129,Morpeko,tw90786092,臺北市,19pt
129,POPOLink,tw08948324,新北市,19pt
129,Ze,tw78454431,臺中市,19pt
132,MIA,tw81941730,臺中市,18pt
133,Ollie,tw55813053,桃園市,16pt
134,Addison,tw38874392,臺中市,15pt
134,Benjamin,tw06198131,新北市,15pt
134,Chi,tw99857258,宜蘭縣,15pt
134,Cindy,tw07103027,新北市,15pt
134,HERO,tw13886746,新北市,15pt
134,Handsome_Elmo,tw24866240,高雄市,15pt
134,Jeff,tw64123148,彰化縣,15pt
134,Kebbi,tw39637174,桃園市,15pt
134,Linus,tw13023402,臺北市,15pt
134,Max,tw06634632,臺北市,15pt
134,Max0918,tw42005868,臺南市,15pt
134,Musk,tw03623052,新北市,15pt
134,Nash,tw35077402,新竹市,15pt
134,PokemonPTCGP,tw38378986,新北市,15pt
134,QQ,tw35923025,臺南市,15pt
134,RHCHANG,tw61342334,新竹市,15pt
134,Raymond,tw94758573,新北市,15pt
134,Ryder,tw65758855,新北市,15pt
134,SmallJay,tw58297741,屏東縣,15pt
134,eddiechuang,tw00624922,臺北市,15pt
134,Austin0120,tw50551352,桃園市,15pt
134,Ponyo,tw55552824,新北市,15pt
134,andy0518,tw18947254,新北市,15pt
134,Aa1014,tw20997286,屏東縣,15pt
134,Ryder,tw97755940,臺中市,15pt
134,Shawn,tw94059782,新北市,15pt
134,YOYO,tw67898406,臺中市,15pt
161,Andy,tw42516222,新北市,14pt
162,Ming,tw53095361,高雄市,12pt
163,Brian,tw42668876,新北市,11pt
164,Adam,tw40727736,臺北市,10pt
164,Bohan,tw28239982,臺北市,10pt
164,CurryHsu,tw02633302,桃園市,10pt
164,Evan-panda,tw01602665,臺北市,10pt
164,IanChu,tw17849731,桃園市,10pt
164,JasonCheng,tw42256001,新北市,10pt
164,Jerry,tw28581277,新北市,10pt
164,Jessie,tw48498418,臺北市,10pt
164,Jimmy,tw92190914,桃園市,10pt
164,Ken_LI,tw98375206,新北市,10pt
164,OP-GuYouCheng,tw70992269,臺中市,10pt
164,Oscar,tw90174716,新北市,10pt
164,RayLo,tw11863950,臺北市,10pt
164,Rex,tw98146359,新北市,10pt
164,RexTsao,tw96773257,桃園市,10pt
164,Richardlin,tw79839806,臺北市,10pt
164,Rick,tw67514618,新北市,10pt
164,"WANG,PIN-JUI",tw89242970,新北市,10pt
164,WenJin,tw80794690,桃園市,10pt
164,cl0324,tw02787975,桃園市,10pt
164,seanhh1006,tw35923132,臺北市,10pt
164,Jiayi,tw17559512,臺北市,10pt
164,Kai,tw19709119,臺北市,10pt
164,Phoebe,tw00806610,新北市,10pt
164,Riana,tw05443607,桃園市,10pt
164,Star,tw12536050,臺南市,10pt
164,Sunny,tw88014909,新北市,10pt
191,Bruce,tw65586414,苗栗縣,9pt
191,OP_Amber,tw97154037,臺中市,9pt
193,Adrien,tw28078413,新北市,8pt
193,Daniel,tw43951645,臺南市,8pt
193,Eugenia,tw72949917,臺北市,8pt
193,Klefki_Evan,tw58170732,高雄市,8pt
193,Leo,tw82777276,苗栗縣,8pt
193,Zoey_Fan,tw21246501,新北市,8pt
199,SuJi,tw72375538,高雄市,7pt
199,Vic,tw56703325,新北市,7pt
201,CarterHsu,tw59356681,臺中市,6pt
201,Charles,tw71355273,苗栗縣,6pt
201,Freddy,tw63803647,高雄市,6pt
201,Joseph,tw53429128,彰化縣,6pt
201,Li,tw55474671,臺南市,6pt
201,Louis,tw39037279,嘉義市,6pt
201,Matthew,tw13004657,高雄市,6pt
201,Ziyu,tw24353338,南投縣,6pt
201,則則,tw46778389,高雄市,6pt
210,Aaron,tw45872304,新北市,5pt
210,Andrew,tw91728744,高雄市,5pt
210,BST_Liam,tw51976601,臺中市,5pt
210,Darren-Monkey,tw53737347,宜蘭縣,5pt
210,Devin,tw14109317,臺北市,5pt
210,EricSu,tw36230915,新竹縣,5pt
210,Gary2017,tw64960649,新北市,5pt
210,Hank,tw59589233,新北市,5pt
210,Hank,tw17473021,臺中市,5pt
210,Ian,tw25712407,桃園市,5pt
210,Jack,tw41895447,桃園市,5pt
210,Ling0222,tw92537962,彰化縣,5pt
210,Lucas,tw93186349,新北市,5pt
210,OP_BENSON,tw77088088,苗栗縣,5pt
210,Owen,tw63137219,臺北市,5pt
210,Rex,tw03798354,新北市,5pt
210,Robert,tw82644400,新北市,5pt
210,Sam,tw25513412,宜蘭縣,5pt
210,TG_Yule,tw04925681,臺中市,5pt
210,Tommy0125,tw29555686,新北市,5pt
210,Will,tw91149697,臺北市,5pt
210,Yu,tw58745749,高雄市,5pt
210,Zion,tw42397162,新北市,5pt
210,dondon1017,tw94468423,新北市,5pt
210,elio,tw13385115,臺中市,5pt
210,harper,tw85968628,臺北市,5pt
236,Charizard,tw27301563,臺南市,4pt
236,Chiara,tw44446459,新北市,4pt
236,Christina,tw91114690,臺中市,4pt
236,Claire,tw87312651,苗栗縣,4pt
236,Leo,tw01111702,臺中市,4pt
236,Maxtsao2017,tw74970005,臺中市,4pt
236,Nemo,tw27928464,臺南市,4pt
236,RyanUr,tw75760219,彰化縣,4pt
236,Woody,tw17216363,高雄市,4pt
236,YUTZUCHUN,tw11586070,臺北市,4pt
236,didiliou0812,tw94807838,高雄市,4pt
247,Casey,tw95217273,臺南市,3pt
247,Gaga,tw78560483,臺北市,3pt
249,********************,tw73733824,臺南市,0pt
249,********************,tw58929225,高雄市,0pt
249,********************,tw90804846,高雄市,0pt
249,007,tw72008579,桃園市,0pt
249,410,tw78831210,臺北市,0pt
249,500,tw29979802,桃園市,0pt
249,20151005001,tw92539805,苗栗縣,0pt
249,@Hower,tw83249375,高雄市,0pt
249,A107343686,tw80669380,屏東縣,0pt
249,AAOA,tw10149794,臺中市,0pt
249,ALLEN03176922,tw31328173,臺北市,0pt
249,ANDY,tw21962415,新北市,0pt
249,Aaron,tw30547134,臺北市,0pt
249,AaronChen,tw87786791,新竹縣,0pt
249,Abby,tw63503878,桃園市,0pt
249,Abby,tw83642164,桃園市,0pt
249,Abubu,tw63652660,新竹縣,0pt
249,Ace,tw94835821,基隆市,0pt
249,Adam,tw94161499,桃園市,0pt
249,Adem,tw39158973,新竹縣,0pt
249,Aerith,tw69774476,新竹市,0pt
249,Aiden,tw36758652,臺北市,0pt
249,Aix,tw83709077,新北市,0pt
249,Ajiang,tw10437106,新竹縣,0pt
249,Alan1126,tw15165847,高雄市,0pt
249,Albert,tw61655586,高雄市,0pt
249,Alisa,tw99770826,彰化縣,0pt
249,Alison,tw63300150,桃園市,0pt
249,Allen,tw43708137,高雄市,0pt
249,Allen,tw95996047,高雄市,0pt
249,Alston,tw39746201,桃園市,0pt
249,Alston,tw88955558,臺中市,0pt
249,Alvis,tw96797685,高雄市,0pt
249,Amanda,tw19963605,新北市,0pt
249,Amo,tw14711518,高雄市,0pt
249,An0208,tw89645111,屏東縣,0pt
249,Anber,tw68930381,臺中市,0pt
249,Anderson,tw04520367,新竹市,0pt
249,Andrew,tw14405544,臺北市,0pt
249,Andrew,tw03016894,臺北市,0pt
249,AndyTT,tw59077725,高雄市,0pt
249,Apache,tw69916924,新北市,0pt
249,Ari,tw69234704,臺北市,0pt
249,Ariel1128,tw59559247,新北市,0pt
249,B.S.T Hiro,tw64038007,臺中市,0pt
249,BST-Wimi,tw13165108,臺中市,0pt
249,BST_Rogerko,tw88480839,臺中市,0pt
249,BallBall,tw04290509,臺南市,0pt
249,Bearhuang01,tw59932079,新北市,0pt
249,Ben,tw10603639,彰化縣,0pt
249,Ben,tw85143398,新北市,0pt
249,Ben,tw53499789,臺北市,0pt
249,Benjamin,tw25167742,臺北市,0pt
249,Benny,tw09573043,新北市,0pt
249,Benson,tw53082926,臺中市,0pt
249,Benson,tw24176995,臺北市,0pt
249,Birdy,tw65107115,桃園市,0pt
249,Boteas,tw12114168,屏東縣,0pt
249,Brian,tw21302583,彰化縣,0pt
249,Brian,tw39171885,臺中市,0pt
249,Bright,tw12155269,桃園市,0pt
