rank,username,ptcg_id,area,points
1,ChenMinQian,tw75551324,苗栗縣,420pt
2,Towasamalike,tw23205294,臺南市,255pt
3,Tiger,tw15435377,新北市,238pt
4,NiHao_WoChiYiDian,tw56336073,臺中市,218pt
5,Galaxy,tw27568465,臺中市,215pt
5,Jiao,tw78403870,新北市,215pt
7,曉致,tw63508480,高雄市,214pt
8,TCGSTORE_阿元,tw79280986,臺北市,207pt
9,AndyChou,tw44127879,新北市,204pt
10,aaaa,tw36759052,臺中市,203pt
11,Ray,tw73106123,高雄市,199pt
12,BossTang,tw48793078,基隆市,198pt
13,LUN,tw56605426,臺南市,193pt
14,shawn,tw42309306,臺中市,192pt
15,Yeen,tw73048413,臺南市,190pt
15,Akashi,tw23764220,彰化縣,190pt
17,TopCard_Fu,tw77877383,新竹縣,182pt
18,Chuangbob,tw59842400,新竹市,178pt
19,GMS-YO,tw93955100,臺南市,177pt
20,DCG_01,tw24854365,新竹縣,175pt
20,JEFF,tw33544977,新北市,175pt
22,Danyang,tw03132048,高雄市,174pt
23,86,tw94971550,臺北市,172pt
24,cian,tw78657682,高雄市,170pt
25,Mr.Gengar,tw05925639,臺中市,167pt
25,ScreamTail,tw42619935,臺南市,167pt
27,DKA_PIGRIGHT0,tw93433450,宜蘭縣,166pt
27,Heisenberg,tw22529091,臺北市,166pt
27,Victor,tw76369505,新北市,166pt
30,ZIYI777,tw69848864,新北市,165pt
31,Moon,tw97931731,臺北市,163pt
31,Stanley.LAI,tw29404493,臺中市,163pt
33,Viveka,tw21820105,桃園市,155pt
34,XJH_Fengshen,tw15026318,新北市,154pt
35,阿童,tw39185310,臺北市,152pt
36,DONG_JI_WU,tw59054436,臺中市,151pt
36,海豹姐,tw01909140,彰化縣,151pt
36,Cookie,tw42912360,高雄市,151pt
39,Modred1104,tw44821842,臺中市,150pt
39,PoYangHsu,tw10141695,高雄市,150pt
41,DCG_2330,tw46798799,臺北市,149pt
42,ClawsTY Martin,tw76086171,桃園市,147pt
42,Ianyang,tw45485735,高雄市,147pt
42,瘋桌遊楠梓店正老闆徵闆娘！,tw02559687,高雄市,147pt
45,TCGSTORE_MASSA,tw85147749,臺北市,145pt
45,will,tw79188375,高雄市,145pt
45,BenT,tw76470686,臺南市,145pt
48,TEAM_David,tw10467123,臺北市,143pt
49,QQ,tw26175828,臺中市,142pt
49,R1n90,tw23226571,新北市,142pt
51,LINCHEHSUAN,tw95954871,臺北市,137pt
51,lkkder,tw06441088,高雄市,137pt
53,yuyu614,tw11292760,臺北市,136pt
54,rabbit,tw24203947,新北市,135pt
55,kazma,tw04461037,臺北市,134pt
55,哈力栗,tw44344603,高雄市,134pt
57,GHG_PeterWine,tw16132632,宜蘭縣,131pt
58,"Chang,I-Hsiang",tw89343025,臺中市,129pt
58,Shanks,tw28750216,新北市,129pt
58,XRY,tw93076075,臺中市,129pt
61,ChienTingYu,tw93020902,新北市,128pt
62,Mark,tw46076033,高雄市,127pt
63,Nick,tw55000893,臺中市,125pt
64,StrongOrange,tw97885633,臺南市,124pt
65,L,tw18638755,彰化縣,122pt
66,HiddenSquid,tw00387540,桃園市,121pt
66,Johnny,tw50567676,苗栗縣,121pt
68,Snake,tw01024875,新北市,120pt
69,13,tw39174853,臺南市,118pt
69,南呱,tw32214798,雲林縣,118pt
71,Bob,tw13624938,彰化縣,116pt
72,DQ,tw20116252,桃園市,115pt
72,Wei,tw53723254,臺中市,115pt
74,Jack,tw54430001,新竹市,114pt
74,Laolio,tw29536370,新北市,114pt
76,Yang,tw60273793,高雄市,112pt
77,CaiMingFeng,tw51147332,新北市,110pt
77,DCG_M1DSKY,tw16152234,新竹市,110pt
79,NewBee,tw59096586,桃園市,109pt
80,Zhaorui,tw88780324,臺中市,108pt
80,rio1022,tw68088789,高雄市,108pt
82,Miltank,tw46795660,臺北市,107pt
83,HaveFun-WeiWei,tw35839691,桃園市,106pt
83,Minatsuki,tw30477292,高雄市,106pt
83,MoonCake,tw30898169,新北市,106pt
86,Jyun,tw35995465,高雄市,105pt
86,Diamond,tw57017359,臺北市,105pt
88,DCG_J35815916,tw09574160,高雄市,104pt
88,Mapu0215,tw81121676,臺中市,104pt
88,NewFlavors,tw17203659,臺北市,104pt
88,罐頭,tw45806310,高雄市,104pt
92,Osnyani,tw97138451,新竹市,101pt
93,Aki,tw41073870,臺中市,100pt
93,Habu,tw79878183,高雄市,100pt
95,ChunLun,tw82981600,新北市,95pt
95,Giles,tw52127289,新北市,95pt
95,J4son,tw97135682,臺中市,95pt
95,Luffy87512,tw96909333,桃園市,95pt
95,watermelon,tw54760232,高雄市,95pt
95,Shark,tw62820523,基隆市,95pt
101,GHG_Andro,tw20198051,新北市,94pt
101,GMS_Mew,tw67759215,新北市,94pt
103,HornyBat,tw81886933,臺北市,93pt
103,JimmyTai,tw39894258,新北市,93pt
103,Hank,tw33274690,臺北市,93pt
106,Wen,tw08814300,新北市,92pt
107,Nine-tailedfox,tw87180928,桃園市,91pt
107,Yang-Qi-Jun,tw93858918,新北市,91pt
109,shang,tw75204861,新北市,90pt
110,Rukai-Warriors,tw96137948,屏東縣,89pt
110,Sin,tw61279434,高雄市,89pt
110,XJH_HANGO,tw67199394,新北市,89pt
113,Pierre_Cashon,tw76059026,新北市,88pt
113,Jiago,tw35707148,臺南市,88pt
115,Hsiang,tw49877892,桃園市,87pt
115,bamboo,tw65483922,新北市,87pt
115,薄荷Echo,tw55332465,高雄市,87pt
115,ting,tw18906406,新北市,87pt
115,Jimin,tw69372013,臺中市,87pt
120,KHJL,tw33425386,臺北市,86pt
120,LMK,tw75774280,高雄市,86pt
120,Nkrs,tw29121960,新北市,86pt
120,TsaiYaoChing,tw76258268,屏東縣,86pt
120,XJH_Tangfen,tw02826499,新北市,86pt
120,HowDaOh,tw32950344,臺北市,86pt
126,Bruce,tw32869182,臺北市,85pt
126,shan,tw86177796,彰化縣,85pt
128,Gai,tw89609352,桃園市,84pt
128,Jeremy0224,tw58817602,臺北市,84pt
128,Jerry,tw45498080,臺中市,84pt
128,OP_Chai,tw52194649,臺中市,84pt
128,WunHao,tw89644458,臺北市,84pt
133,LeiDog,tw35416653,臺北市,83pt
133,TuHungHsiang,tw67479231,新北市,83pt
135,BO_YING,tw72333956,新北市,82pt
135,HuangPoTsun,tw35735135,臺中市,82pt
135,JoeChen,tw45324854,新北市,82pt
135,ericyang,tw96387195,新北市,82pt
135,Bread,tw65936819,新北市,82pt
140,ChenChuXiang,tw66134077,嘉義縣,81pt
140,Ricky,tw42527004,臺南市,81pt
140,翻轉-黃偉哲,tw40852343,臺南市,81pt
140,CLZ,tw60311204,臺北市,81pt
144,Bill,tw88559975,臺中市,80pt
144,GZ_ChuanGe,tw40123518,臺北市,80pt
144,Ken,tw82119121,臺南市,80pt
147,ChiMing,tw36747145,桃園市,79pt
147,^-^,tw16965198,臺北市,79pt
149,Fin,tw88792767,新北市,78pt
149,Forehead,tw37173355,新北市,78pt
149,Warrior5454,tw54988993,桃園市,78pt
149,kang,tw92544749,新北市,78pt
149,享玩_帆帆帆帆,tw69069593,桃園市,78pt
149,broday,tw73917548,臺北市,78pt
155,ChengChih,tw91826663,桃園市,77pt
155,LinPo,tw79802506,高雄市,77pt
157,ADi,tw99926791,嘉義市,76pt
157,Knightvc,tw64863333,新北市,76pt
157,Pinkey,tw04722294,高雄市,76pt
157,Tenya,tw73911906,新竹縣,76pt
157,Yue,tw61533794,臺北市,76pt
162,Biaoz,tw00357547,新北市,75pt
162,Blac3Ace,tw52806758,臺北市,75pt
162,CTSYUHAO,tw24889276,嘉義縣,75pt
162,NiGHT,tw35717087,臺南市,75pt
162,OldWang,tw33446875,新竹縣,75pt
162,felix,tw12363623,臺北市,75pt
168,LNG+1,tw02367054,屏東縣,74pt
168,Ray,tw91072286,臺南市,74pt
168,linhoching,tw02856732,臺南市,74pt
168,TCGSTORE_HSUAN,tw49340794,臺北市,74pt
172,Benny,tw94173678,臺中市,73pt
172,Eyang,tw07314439,臺北市,73pt
172,PPT_Salmon,tw49159270,臺中市,73pt
172,cxy,tw84592025,桃園市,73pt
176,AdamChia,tw87510571,高雄市,72pt
176,FrankChu,tw48512422,新北市,72pt
176,GHG_Faye,tw38086655,臺北市,72pt
176,Hanji,tw21351845,高雄市,72pt
176,HungYaoWang,tw71029745,臺北市,72pt
176,Ian,tw17213475,臺中市,72pt
176,Rjjiang,tw59882595,臺中市,72pt
176,YaoTing,tw93947447,新北市,72pt
176,Raptor,tw62315993,桃園市,72pt
185,:(,tw50858481,桃園市,71pt
185,BonBon,tw09269089,新竹市,71pt
185,HEJIAYING,tw49698910,新北市,71pt
