record_type,round,page_index,table_no,player_no,player_id,player_name,player_score,opponent_id,opponent_name,opponent_score,rank,total_score,omw_pct,wo_score,avomw_pct
round_pairing,Round 1,1,601,1880,tw53413653,,,tw18336767,,,,,,,
round_pairing,Round 1,1,601,720,tw18336767,,,tw53413653,,,,,,,
round_pairing,Round 1,1,602,742,tw37352245,,,tw94073321,,,,,,,
round_pairing,Round 1,1,602,792,tw94073321,,,tw37352245,,,,,,,
round_pairing,Round 1,1,603,1047,tw37855988,,,tw33233319,,,,,,,
round_pairing,Round 1,1,603,735,tw33233319,,,tw37855988,,,,,,,
round_pairing,Round 1,1,604,1468,tw55391620,,,tw99268898,,,,,,,
round_pairing,Round 1,1,604,795,tw99268898,,,tw55391620,,,,,,,
round_pairing,Round 1,1,605,766,tw66007671,,,tw92487491,,,,,,,
round_pairing,Round 1,1,605,790,tw92487491,,,tw66007671,,,,,,,
round_pairing,Round 1,1,606,711,tw10263420,,,tw55774266,,,,,,,
round_pairing,Round 1,1,606,759,tw55774266,,,tw10263420,,,,,,,
round_pairing,Round 1,1,607,1599,tw52014839,,,tw76371374,,,,,,,
round_pairing,Round 1,1,607,773,tw76371374,,,tw52014839,,,,,,,
round_pairing,Round 1,1,608,1140,tw75837772,,,tw29790670,,,,,,,
round_pairing,Round 1,1,608,1245,tw29790670,,,tw75837772,,,,,,,
round_pairing,Round 1,1,609,1075,tw09082546,,,tw44119672,,,,,,,
round_pairing,Round 1,1,609,1483,tw44119672,,,tw09082546,,,,,,,
round_pairing,Round 1,1,610,1124,tw48711959,,,tw12360786,,,,,,,
round_pairing,Round 1,1,610,712,tw12360786,,,tw48711959,,,,,,,
round_pairing,Round 1,1,611,704,tw02105248,,,tw96234784,,,,,,,
round_pairing,Round 1,1,611,793,tw96234784,,,tw02105248,,,,,,,
round_pairing,Round 1,1,612,748,tw42986392,,,tw89973725,,,,,,,
round_pairing,Round 1,1,612,786,tw89973725,,,tw42986392,,,,,,,
round_pairing,Round 1,1,613,1038,tw80676630,,,tw47050420,,,,,,,
round_pairing,Round 1,1,613,751,tw47050420,,,tw80676630,,,,,,,
round_pairing,Round 1,1,614,707,tw06699075,,,tw54587316,,,,,,,
round_pairing,Round 1,1,614,757,tw54587316,,,tw06699075,,,,,,,
round_pairing,Round 1,1,615,1011,tw98121463,,,tw36617899,,,,,,,
round_pairing,Round 1,1,615,1861,tw36617899,,,tw98121463,,,,,,,
round_pairing,Round 1,1,616,1107,tw95235085,,,tw65972314,,,,,,,
round_pairing,Round 1,1,616,765,tw65972314,,,tw95235085,,,,,,,
round_pairing,Round 1,1,617,1333,tw40670915,,,tw28434285,,,,,,,
round_pairing,Round 1,1,617,728,tw28434285,,,tw40670915,,,,,,,
round_pairing,Round 1,1,618,737,tw33562653,,,tw58040892,,,,,,,
round_pairing,Round 1,1,618,761,tw58040892,,,tw33562653,,,,,,,
round_pairing,Round 1,1,619,771,tw74697953,,,tw77197938,,,,,,,
round_pairing,Round 1,1,619,774,tw77197938,,,tw74697953,,,,,,,
round_pairing,Round 1,1,620,746,tw42212253,,,tw77740333,,,,,,,
round_pairing,Round 1,1,620,775,tw77740333,,,tw42212253,,,,,,,
round_pairing,Round 1,1,621,725,tw25195359,,,tw71084142,,,,,,,
round_pairing,Round 1,1,621,770,tw71084142,,,tw25195359,,,,,,,
round_pairing,Round 1,1,622,1091,tw36653768,,,tw91203979,,,,,,,
round_pairing,Round 1,1,622,788,tw91203979,,,tw36653768,,,,,,,
round_pairing,Round 1,1,623,1772,tw42619471,,,tw97627454,,,,,,,
round_pairing,Round 1,1,623,1942,tw97627454,,,tw42619471,,,,,,,
round_pairing,Round 1,1,624,1732,tw55359182,,,tw32908561,,,,,,,
round_pairing,Round 1,1,624,734,tw32908561,,,tw55359182,,,,,,,
round_pairing,Round 1,1,625,731,tw32262790,,,tw37286261,,,,,,,
round_pairing,Round 1,1,625,741,tw37286261,,,tw32262790,,,,,,,
round_pairing,Round 1,2,626,1539,tw98560313,,,tw12786878,,,,,,,
round_pairing,Round 1,2,626,713,tw12786878,,,tw98560313,,,,,,,
round_pairing,Round 1,2,627,1601,tw28186951,,,tw15567133,,,,,,,
round_pairing,Round 1,2,627,718,tw15567133,,,tw28186951,,,,,,,
round_pairing,Round 1,2,628,702,tw00060663,,,tw78670690,,,,,,,
round_pairing,Round 1,2,628,776,tw78670690,,,tw00060663,,,,,,,
round_pairing,Round 1,2,629,779,tw81357440,,,tw84697938,,,,,,,
round_pairing,Round 1,2,629,784,tw84697938,,,tw81357440,,,,,,,
round_pairing,Round 1,2,630,740,tw37101976,,,tw91113369,,,,,,,
round_pairing,Round 1,2,630,787,tw91113369,,,tw37101976,,,,,,,
round_pairing,Round 1,2,631,1886,tw24493749,,,tw00283867,,,,,,,
round_pairing,Round 1,2,631,703,tw00283867,,,tw24493749,,,,,,,
round_pairing,Round 1,2,632,1013,tw42355562,,,tw65322738,,,,,,,
round_pairing,Round 1,2,632,764,tw65322738,,,tw42355562,,,,,,,
round_pairing,Round 1,2,633,723,tw23009605,,,tw58583808,,,,,,,
round_pairing,Round 1,2,633,763,tw58583808,,,tw23009605,,,,,,,
round_pairing,Round 1,2,634,705,tw03103631,,,tw34406887,,,,,,,
round_pairing,Round 1,2,634,738,tw34406887,,,tw03103631,,,,,,,
round_pairing,Round 1,2,635,769,tw71024012,,,tw81291690,,,,,,,
round_pairing,Round 1,2,635,778,tw81291690,,,tw71024012,,,,,,,
round_pairing,Round 1,2,636,1334,tw18142838,,,tw12769027,,,,,,,
round_pairing,Round 1,2,636,1527,tw12769027,,,tw18142838,,,,,,,
round_pairing,Round 1,2,637,1549,tw000570442,,,tw15417650,,,,,,,
round_pairing,Round 1,2,637,717,tw15417650,,,tw000570442,,,,,,,
round_pairing,Round 1,2,638,727,tw27088222,,,tw38952785,,,,,,,
round_pairing,Round 1,2,638,744,tw38952785,,,tw27088222,,,,,,,
round_pairing,Round 1,2,639,1417,tw37556303,,,tw50896397,,,,,,,
round_pairing,Round 1,2,639,755,tw50896397,,,tw37556303,,,,,,,
round_pairing,Round 1,2,640,747,tw42891021,,,tw49181959,,,,,,,
