rank,points,username,player_id,region,deck_url
1,20,ninja._.wa,tw89548879,南投縣,
2,12,Jiago,tw35707148,臺南市,
3,10,Zhaorui,tw88780324,臺中市,
4,10,shan,tw86177796,彰化縣,
5,8,shawn,tw42309306,臺中市,
6,8,Wei,tw53723254,臺中市,
7,8,Edgar,tw93551526,臺中市,
8,8,HSU,tw02991787,新竹縣,
9,6,Cookie,tw42912360,高雄市,
10,6,CaiMingFeng,tw51147332,新北市,
11,6,Noir,tw83663725,雲林縣,
12,6,WEI,tw43324748,臺中市,
13,6,Sean666,tw46437830,臺中市,
14,6,MiraidonThreeGun,tw65388478,澎湖縣,
15,6,Henry,tw57273060,新北市,
16,6,LiaoZhenghao,tw11792037,臺中市,
