rank,points,username,player_id,region,deck_url
1,100,1-3,tw66599212,彰化縣,
2,75,Leon,tw49181959,新北市,
3,50,James,tw34406887,新竹縣,/tw/deck-build/recipe/gCWqaA-LFBLLs-wxrbAO/
4,50,YuAn._84,tw12769027,新北市,
5,25,Stalin,tw76224514,新北市,
6,25,JayWu100,tw85313935,新北市,/tw/deck-build/recipe/YnSGiL-hGpnjD-tKStcI/
7,25,Anka,tw54587316,新北市,
8,25,LINCHENJUI,tw91466649,新北市,
9,20,baobaobaby530,tw78670690,臺北市,
10,20,Joshua,tw58176881,新竹市,
11,20,Chenyikai,tw40017812,新北市,
12,20,Kayson,tw81419386,新北市,
13,20,chang1101,tw56108597,宜蘭縣,/tw/deck-build/recipe/tUsfvV-dSbinI-mNwwqB/
14,20,JPL,tw70889763,新北市,
15,20,Wade010926,tw42986392,臺北市,
16,20,Iyiu,tw57615176,彰化縣,
17,15,andrew,tw00057543,新北市,/tw/deck-build/recipe/EELMDH-KTAmkj-czTPQf/
18,15,PTCG-BOY,tw18142838,臺北市,
19,15,Rueisian,tw28186951,新北市,
20,15,Yuki,tw24617527,新北市,
21,15,CHANGCHIAHAO,tw46558789,新北市,/tw/deck-build/recipe/OMaRrp-gfiTcB-ECNMiN/
22,15,KBAlan,tw60895624,臺北市,/tw/deck-build/recipe/FKVCpH-dhcmer-pTXeht/
23,15,AndrewChung,tw89973725,高雄市,
24,15,KB_QQQQQQ,tw42619471,新北市,
25,15,Luke,tw61878373,臺北市,
26,15,Legoboy,tw97627454,桃園市,
27,15,bruno,tw48025754,新北市,/tw/deck-build/recipe/oApIsq-vIPQus-JymBwa/
28,15,HAO-YU,tw65972314,新北市,
29,15,Sean,tw65322738,臺北市,
30,15,Toby,tw37286261,臺北市,
31,15,Stanley040402,tw46899884,新北市,
32,15,Leo,tw75837772,新北市,
